date,district,GAM Prevalence,next_prevalence,prevalence_diff
2019-01-01,Belet Weyne (Mataban),0.4780423280423281,0.6739054290718038,0.19586310102947574
2019-01-01,Belet Xaawo,0.4070600258586147,0.5172155129757019,0.11015548711708717
2019-01-01,Berbera,0.2657364311048932,0.2430326560610348,-0.0227037750438584
2019-01-01,Borama,0.204456465641011,0.2736328112610178,0.0691763456200068
2019-01-01,Bu'aale,0.31831560695452,0.5163749201445982,0.1980593131900782
2019-01-01,Doolow,0.3983778863086515,0.5545845681860391,0.15620668187738757
2019-01-01,Caynabo,0.3464523514753054,0.3738642018133994,0.027411850338094013
2019-01-01,Galdogob,0.4017369795363936,0.3845598383707495,-0.017177141165644116
2019-01-01,Qandala,0.4847031486728068,0.4662120199606611,-0.0184911287121457
2019-01-01,Qansax Dheere,0.4706401766004414,0.5490683229813664,0.07842814638092505
2019-01-01,Qardho,0.4087521426316601,0.3450721294564353,-0.06368001317522481
2019-01-01,Qoryooley,0.4388574958395,0.4647070601850455,0.025849564345545473
2019-01-01,Saakow,0.3836149906890133,0.4181286549707602,0.0345136642817469
2019-01-01,Saakow/Salagle,0.3014139973234372,0.5116476181559747,0.2102336208325375
2019-01-01,Sablaale,0.4365207106198354,0.4578215216645919,0.021300811044756507
2019-01-01,Owdweyne,0.2072939133886237,0.3310823852137992,0.12378847182517547
2019-01-01,Sheikh,0.2526659184696406,0.311807882954238,0.05914196448459741
2019-01-01,Tayeeglow,0.4731941786256158,0.5481180166869125,0.07492383806129671
2019-01-01,Waajid,0.4792888339084379,0.5458546307673043,0.06656579685886643
2019-01-01,Wanla Weyn,0.4417324945420314,0.4732566779470763,0.031524183405044925
2019-01-01,Xarardheere,0.3440937497588239,0.2395519799571875,-0.1045417698016364
2019-01-01,Xudun,0.3499931256730363,0.3752507299375622,0.02525760426452589
2019-01-01,Xudur,0.48161201917032,0.5457788588250408,0.06416683965472086
2019-01-01,Eyl,0.3843661195946408,0.389948051145162,0.005581931550521224
2019-01-01,Taleex,0.3787844823934796,0.3972102948995347,0.018425812506055073
2019-01-01,Marka,0.4356751207813825,0.4539589601919299,0.018283839410547398
2019-01-01,Zeylac,0.2939877424871059,0.2649276406311697,-0.029060101855936216
2019-01-01,Lughaye,0.2962807470311721,0.2659179435275348,-0.030362803503637292
2019-01-01,Luuq,0.4097136186539254,0.500413842160481,0.0907002235065556
2019-01-01,Garbahaarey,0.3582420806274685,0.5554649634831142,0.19722288285564576
2019-01-01,Garoowe,0.3790731071095702,0.3712592237262992,-0.007813883383270992
2019-01-01,Gebiley,0.195572345649635,0.2418992297764819,0.04632688412684691
2019-01-01,Hargeysa,0.1951645146346709,0.2213906679944643,0.02622615335979339
2019-01-01,Hobyo,0.3520726565695597,0.3487584354785739,-0.003314221090985836
2019-01-01,Iskushuban,0.4239158201206688,0.4394605539382136,0.015544733817544787
2019-01-01,Jalalaqsi,0.4698845151234747,0.5921047430628529,0.1222202279393782
2019-01-01,Gaalkacyo,0.3939217335250711,0.3602422105460542,-0.033679522979016885
2019-01-01,Jariiban,0.3547174345570384,0.3501107168133883,-0.004606717743650124
2019-01-01,Jilib,0.3157056116630282,0.5113327705575001,0.19562715889447196
2019-01-01,Jowhar,0.4361091139158288,0.4607258650079849,0.02461675109215611
2019-01-01,Kismaayo,0.3096236699207461,0.412029161025459,0.10240549110471292
2019-01-01,Kurtunwaarey,0.4391758387432182,0.4656396293608185,0.02646379061760029
2019-01-01,Laas Caanood,0.3237610476395274,0.3366077651757097,0.012846717536182273
2019-01-01,Laasqoray,0.3817815509494871,0.3657972542777379,-0.01598429667174922
2019-01-01,Jamaame,0.3149404261361454,0.532680040708361,0.21773961457221552
2019-01-01,Laasqoray/Badhan,0.4904449978933187,0.4782702779729368,-0.012174719920381882
2019-07-01,Laasqoray/Badhan,0.4782702779729368,,
2019-07-01,Laasqoray,0.3657972542777379,0.4164773384659096,0.050680084188171715
2019-07-01,Laas Caanood,0.3366077651757097,0.3761680108430838,0.03956024566737415
2019-07-01,Kurtunwaarey,0.4656396293608185,0.4452618351340643,-0.020377794226754176
2019-07-01,Kismaayo,0.412029161025459,0.3769676308818636,-0.03506153014359542
2019-07-01,Jowhar,0.4607258650079849,0.4462076309782391,-0.01451823402974578
2019-07-01,Jamaame,0.532680040708361,0.4403832811966767,-0.09229675951168426
2019-07-01,Jariiban,0.3501107168133883,0.4090915108402051,0.05898079402681683
2019-07-01,Lughaye,0.2659179435275348,0.3084001655970627,0.0424822220695279
2019-07-01,Jalalaqsi,0.5921047430628529,0.4735042553650304,-0.1186004876978225
2019-07-01,Iskushuban,0.4394605539382136,0.3383899894950222,-0.1010705644431914
2019-07-01,Hobyo,0.3487584354785739,0.3706782212839118,0.021919785805337932
2019-07-01,Hargeysa,0.2213906679944643,0.2029943156263941,-0.01839635236807019
2019-07-01,Gebiley,0.2418992297764819,0.2667717736348647,0.024872543858382806
