date,district,GAM Prevalence,next_prevalence,prevalence_diff,total population
2018-01-01,Burtinle,0.3795999999999999,0.4927859267135329,0.113185926713533,453434.0
2018-01-01,Buuhoodle,0.2027999999999999,0.226129551832888,0.023329551832888,99157.0
2018-01-01,Buur Hakaba,0.2886,0.4846909879180319,0.1960909879180318,72825.0
2018-01-01,Cadale,0.351,0.2829201738380863,-0.0680798261619136,179997.0
2018-01-01,Caluula,0.3432,0.4507637375759017,0.1075637375759017,97441.0
2018-01-01,Caynabo,0.2911999999999999,0.2428031590674251,-0.0483968409325747,1044086.0
2018-01-01,Ceel Afweyn,0.3367,0.2906972787612182,-0.0460027212387817,498249.0
2018-01-01,Ceel Buur,0.4212,0.3602624374798162,-0.0609375625201838,98773.0
2018-01-01,Ceel Dheer,0.4211999999999999,0.3142399717243435,-0.1069600282756564,87386.0
2018-01-01,Ceel Waaq,0.3925999999999998,0.2770029164634731,-0.1155970835365267,71387.0
2018-01-01,Ceerigaabo,0.3367000000000001,0.3096083862495412,-0.0270916137504589,46901.0
2018-01-01,Dhuusamarreeb,0.4212,0.3909032104916541,-0.0302967895083459,226940.0
2018-01-01,Diinsoor,0.2886000000000001,0.4769534198876959,0.1883534198876958,53457.0
2018-01-01,Doolow,0.3926,0.5392512067568789,0.1466512067568788,33133.0
2018-01-01,Ceel barde,0.4861999999999998,,,113789.0
2018-01-01,Bulo Burto,0.3926,0.3908949717937982,-0.0017050282062018,195781.0
2018-01-01,Abudwak,0.4212,,,252497.0
2018-01-01,Bossaso,0.3432,0.482210605259551,0.139010605259551,15023.0
2018-01-01,Adado,0.4212,,,467020.0
2018-01-01,Adan Yabaal,0.3510000000000001,0.2789393906990287,-0.0720606093009714,51766.0
2018-01-01,Afgooye,0.351,0.384859060068862,0.033859060068862,62264.0
2018-01-01,Afmadow,0.3925999999999999,,,52515.0
2018-01-01,Baardheere,0.3925999999999999,0.2972606382668021,-0.0953393617331977,64346.0
2018-01-01,Badhaadhe,0.3926,0.3711192650605567,-0.0214807349394433,59092.0
2018-01-01,Baidoa,0.2886,,,68592.0
2018-01-01,Baki,0.169,0.2761092768701464,0.1071092768701464,209904.0
2018-01-01,Balcad,0.351,0.3580405856281527,0.0070405856281527,377473.0
2018-01-01,Bandarbeyla,0.3432000000000001,0.499901764184284,0.1567017641842839,72580.0
2018-01-01,Baraawe,0.3510000000000001,0.3785774588022779,0.0275774588022778,69851.0
2018-01-01,Belethawa,0.3926,,,74373.0
2018-01-01,Belet Weyne,0.3926,0.4637281725694139,0.0711281725694139,33448.0
2018-01-01,Berbera,0.1976,0.2949701973955382,0.0973701973955382,111449.0
2018-01-01,Borama,0.1690000000000001,0.2406251937071188,0.0716251937071187,77426.0
