district,date,next_prevalence,predictions_model_2,predictions_model_3
Sheikh,2021-01-01,0.2242774189339074,0.2913581518751818,0.2286072500661823
Jalalaqsi,2021-01-01,0.4080728253042081,0.4643094744192553,0.4308971847175675
Sablaale,2021-01-01,0.4486895846702985,0.4436222692482099,0.413543756844547
Baraawe,2021-01-01,0.4655421778369564,0.4701610328422081,0.4217137737221737
Diinsoor,2021-01-01,0.419636541705207,0.4249938790669328,0.4612339621040665
Qoryooley,2021-01-01,0.4512228697099891,0.5084647170285969,0.4463172698276454
Ceel Afweyn,2021-01-01,0.2599961858750237,0.2791955265908143,0.2658380191875644
Qardho,2021-01-01,0.422637962358916,0.4011561133555978,0.3797579813870946
Jamaame,2021-01-01,0.4376510659496103,0.4043297932294221,0.4064753330805216
Burtinle,2021-01-01,0.405234927348139,0.422325474110207,0.3635345417921254
Belet Weyne,2021-01-01,0.3071993772609909,0.4395253631457977,0.4525273936436991
Cadale,2021-01-01,0.2873604609290601,0.3897945650680628,0.4003103217249662
Ceel Dheer,2021-01-01,0.3369272237196765,0.360010331522382,0.3206582841153579
