prevalence_6lag,covid,ndvi,ipc,population,month,district_encoded,district,date,next_prevalence,predictions
0.2324431385911439,3310.0,0.12333333333333334,0.09,257277.9921167836,7,21,Berbera,2020-07-01,0.2058333333333333,0.23003167138543001
0.3279739567099389,3310.0,0.17166666666666666,0.14,150445.26937163374,7,46,Eyl,2020-07-01,0.3083090379008746,0.327645958054757
0.2484368223141074,3310.0,0.39999999999999997,0.08,122284.68350495162,7,6,Baardheere,2020-07-01,0.2388133498145859,0.33843007471560227
0.2138712946350238,3310.0,0.25,0.06,114678.62295159738,7,22,Borama,2020-07-01,0.1912113359430997,0.2580730052350364
0.4128893068350834,3310.0,0.25666666666666665,0.17,26612.36163714786,7,38,Ceel Buur,2020-07-01,0.3598183881952327,0.3855773832046376
0.4646904136201208,3310.0,0.225,0.11,119822.71253135678,7,48,Galdogob,2020-07-01,0.4519462624870823,0.4251758591417255
0.4205569846330418,3310.0,0.18166666666666667,0.13,134132.73415617252,7,70,Qandala,2020-07-01,0.3550690147548786,0.40315292448677953
0.4918983277534718,3310.0,0.18499999999999997,0.12,42841.35404644698,7,34,Caluula,2020-07-01,0.3592467407049734,0.42985232077605007
0.2163547982087805,3310.0,0.21666666666666667,0.12,183042.93582933792,7,69,Owdweyne,2020-07-01,0.1948497854077253,0.2223414196820225
0.549549493748511,3310.0,0.3833333333333333,0.07,70367.24202467134,7,85,Xudur,2020-07-01,0.5317134742821079,0.48857755113467344
0.1675903119868637,3947.0,0.25666666666666665,0.11,67184.955,1,51,Gebiley,2021-01-01,0.2876174019676151,0.2522469449040561
0.1277865307901176,3947.0,0.21833333333333335,0.12,69235.29,1,52,Hargeysa,2021-01-01,0.2676350893059009,0.22173009297399976
0.4367229608336327,3947.0,0.36999999999999994,0.1,70268.22,1,81,Waajid,2021-01-01,0.4498858793883663,0.4709334198422028
0.2304840065259306,3947.0,0.41333333333333333,0.14,188544.915,1,6,Baardheere,2021-01-01,0.3868994061543999,0.3573075356082218
0.306084466714388,3947.0,0.23,0.2,430013.52,1,53,Hobyo,2021-01-01,0.2851447172525171,0.28706891709378046
0.3266989556530952,3947.0,0.2783333333333333,0.11,316531.98,1,38,Ceel Buur,2021-01-01,0.3584365855515789,0.3499266093318926
0.3761939925204259,3947.0,0.17666666666666667,0.21,491879.61,1,50,Garoowe,2021-01-01,0.3763941017333375,0.3562509632411027
0.4289798374962383,3947.0,0.33166666666666667,0.07,227667.915,1,82,Wanla Weyn,2021-01-01,0.4482908617511664,0.4555226713011135
0.2514301767289815,3947.0,0.18000000000000002,0.24,42455.7,1,42,Ceerigaabo,2021-01-01,0.2245768359322937,0.25634471392545605
0.4469897765997728,3947.0,0.38999999999999996,0.12,91374.975,1,85,Xudur,2021-01-01,0.4472915724098218,0.4595327712473708
0.2477857878475798,3947.0,0.15333333333333335,0.15,165968.46,1,86,Zeylac,2021-01-01,0.2391876511594821,0.31009084431038675
0.2639538679142639,3947.0,0.6,0.1,95730.255,1,7,Badhaadhe,2021-01-01,0.4056724072698737,0.3210867861920309
0.3925848407833757,3947.0,0.27666666666666667,0.25,69703.11,1,83,Xarardheere,2021-01-01,0.268406014603596,0.4217340078145481
0.2331280633404549,3947.0,0.4566666666666666,0.15,1027923.705,1,40,Ceel Waaq,2021-01-01,0.3544682405589296,0.34913376164564724
0.4582353863030873,3947.0,0.3183333333333333,0.1,178339.81499999997,1,3,Afgooye,2021-01-01,0.4637639420358601,0.3924192489553247
0.4556007922535211,3947.0,0.37833333333333335,0.12,85807.70999999999,1,25,Bulo Burto,2021-01-01,0.3462197497828791,0.4431970393821267
0.4117135401565671,3947.0,0.44333333333333336,0.09,100476.765,1,80,Tayeeglow,2021-01-01,0.4212055712220329,0.422172529760777
0.4141636814549462,3947.0,0.25833333333333336,0.2,141077.745,1,48,Galdogob,2021-01-01,0.4573444515715202,0.4186303492791644
0.132173714024146,3947.0,0.23833333333333337,0.16,130366.52999999998,1,69,Owdweyne,2021-01-01,0.2280157801397049,0.25164558635721723
0.1412881669919613,3947.0,0.24,0.11,112734.27,1,22,Borama,2021-01-01,0.2772673624137732,0.23641286770283432
0.4905037846230626,3947.0,0.43166666666666664,0.09,1707984.9450000003,1,67,Marka,2021-01-01,0.4460078540314803,0.3941252982613751
0.345604315497886,3947.0,0.20666666666666667,0.23,50723.28,1,46,Eyl,2021-01-01,0.3608362119600107,0.3861426453092897
0.1939232409381663,3947.0,0.2316666666666667,0.17,141229.88999999998,1,35,Caynabo,2021-01-01,0.2174981567952813,0.2434375594540839
0.4339712463105779,3947.0,0.21333333333333335,0.14,309683.38499999995,1,70,Qandala,2021-01-01,0.3321710405579005,0.3819620277479709
0.3060848186846958,3947.0,0.26666666666666666,0.14,76346.775,1,66,Luuq,2021-01-01,0.3731717928980219,0.36945024982963437
0.4153248254892724,3947.0,0.18333333333333335,0.23,73330.78499999999,1,23,Bossaso,2021-01-01,0.4282333104445733,0.39555084314233957
0.4118061786950391,3947.0,0.5066666666666667,0.14,169536.10499999998,1,24,Bu'aale,2021-01-01,0.4008547346761109,0.392494894035465
0.4855604762788724,3947.0,0.5516666666666666,0.09,62404.28999999999,1,61,Kurtunwaarey,2021-01-01,0.4575951234622532,0.45428508203748463
0.4604083984124952,3947.0,0.38833333333333336,0.13,35703.36,1,59,Jowhar,2021-01-01,0.4476632959825088,0.45259219712043086
0.4371415325518246,3947.0,0.2333333333333333,0.14,70268.22,1,47,Gaalkacyo,2021-01-01,0.3799963816705769,0.4304873804667836
0.4729064039408867,3947.0,0.23,0.16,81479.34,1,34,Caluula,2021-01-01,0.3438764024096086,0.4352077739912233
0.3619308628245356,3947.0,0.5366666666666666,0.22,186893.055,1,60,Kismaayo,2021-01-01,0.3934804082976622,0.4063574949340537
0.3881953090823434,3947.0,0.5,0.11,83205.71999999999,1,58,Jilib,2021-01-01,0.4043924756806527,0.4229706619400126
0.1808939137198255,3947.0,0.16333333333333333,0.14,48461.80499999999,1,21,Berbera,2021-01-01,0.2759629145666106,0.25055391089363505
0.3757435851904466,3947.0,0.26,0.15,142717.185,1,45,Doolow,2021-01-01,0.3515556336790297,0.41391523575765526
0.4244430093639005,3947.0,0.425,0.1,64412.19,1,71,Qansax Dheere,2021-01-01,0.4305075046172255,0.43742725346060274
0.3992414113024258,3947.0,0.3516666666666666,0.13,174970.88999999998,1,11,Balcad,2021-01-01,0.4248102325025402,0.4089842195678105
0.3225435261156694,3947.0,0.26666666666666666,0.1,105162.21,1,43,Dhuusamarreeb,2021-01-01,0.3560481018674942,0.3771980908559276
0.2199045926480217,3947.0,0.16833333333333333,0.17,162957.645,1,79,Taleex,2021-01-01,0.2387409755911226,0.2514590465019818
0.3742070183891431,3947.0,0.17166666666666666,0.17,65262.95999999999,1,54,Iskushuban,2021-01-01,0.3565675219048366,0.3795070246320906
0.3596606279203213,3947.0,0.36166666666666664,0.15,282222.765,1,49,Garbahaarey,2021-01-01,0.3273081001778068,0.45288554285422267
0.1350544166033915,3947.0,0.24666666666666667,0.18,46070.955,1,29,Buuhoodle,2021-01-01,0.2063106796116504,0.25160497553897104
0.1455487847587028,3947.0,0.27499999999999997,0.18,32041.53,1,78,Sheikh,2021-01-01,0.2242774189339074,0.2913581518751818
0.4544457188450606,3947.0,0.37999999999999995,0.1,57175.47,1,55,Jalalaqsi,2021-01-01,0.4080728253042081,0.4643094744192553
0.4933201385452746,3947.0,0.5783333333333334,0.07,85276.75499999999,1,77,Sablaale,2021-01-01,0.4486895846702985,0.44362226924820997
0.4505242752665433,3947.0,0.3833333333333333,0.06,62978.715,1,14,Baraawe,2021-01-01,0.4655421778369564,0.47016103284220817
0.4420162648228424,3947.0,0.47333333333333333,0.13,113853.105,1,44,Diinsoor,2021-01-01,0.419636541705207,0.42499387906693287
0.4801347611599085,3947.0,0.4683333333333333,0.08,99175.77,1,73,Qoryooley,2021-01-01,0.4512228697099891,0.5084647170285969
0.2885139291677652,3947.0,0.19666666666666666,0.23,181435.5,1,36,Ceel Afweyn,2021-01-01,0.2599961858750237,0.2791955265908143
0.3997979640997746,3947.0,0.17333333333333334,0.23,67386.78,1,72,Qardho,2021-01-01,0.422637962358916,0.40115611335559787
0.3833278902677988,3947.0,0.43166666666666664,0.21,170114.66999999998,1,56,Jamaame,2021-01-01,0.4376510659496103,0.4043297932294221
0.415721780335082,3947.0,0.23666666666666666,0.2,170132.26499999998,1,28,Burtinle,2021-01-01,0.405234927348139,0.42232547411020704
0.4625835669613974,3947.0,0.325,0.13,82588.86,1,17,Belet Weyne,2021-01-01,0.3071993772609909,0.43952536314579776
0.2905168905168905,3947.0,0.31,0.1,196309.485,1,33,Cadale,2021-01-01,0.2873604609290601,0.3897945650680628
0.2858416181007885,3947.0,0.2816666666666667,0.17,534884.8949999999,1,39,Ceel Dheer,2021-01-01,0.3369272237196765,0.360010331522382
