date,district,fatalities,event_type_Battles,event_type_Explosions/Remote violence,event_type_Protests,event_type_Riots,event_type_Strategic developments,event_type_Violence against civilians,inter_1,inter_2,inter_3,inter_4,inter_5,inter_6,inter_7,inter_8
2020-01-01,Sheikh,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-07-01,Sheikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,Sheikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,Sheikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,Taleex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,Taleex,2,3,0,0,0,0,1,2,0,2,2,0,0,1,0
2018-07-01,Taleex,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2019-01-01,Taleex,11,2,0,0,0,1,0,1,0,1,2,0,0,0,0
2019-07-01,Taleex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,Taleex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,Taleex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,Taleex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,Taleex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,Tayeeglow,4,1,0,0,0,0,3,1,4,0,0,0,0,3,0
2018-01-01,Tayeeglow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,Tayeeglow,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0
2019-01-01,Tayeeglow,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0
2019-07-01,Tayeeglow,0,1,1,0,0,1,2,1,5,0,0,0,0,3,1
2020-01-01,Tayeeglow,1,0,0,0,0,1,3,0,4,0,0,0,0,4,0
2020-07-01,Tayeeglow,5,3,0,0,0,1,1,1,3,1,2,0,0,2,0
2021-01-01,Tayeeglow,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0
2021-07-01,Tayeeglow,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2017-07-01,Waajid,2,3,1,0,0,1,0,4,4,1,0,0,0,0,1
2018-01-01,Waajid,27,6,5,0,0,1,5,4,16,1,0,0,0,5,7
2018-07-01,Waajid,10,4,0,0,0,1,1,3,6,0,0,0,0,2,1
2019-01-01,Waajid,13,2,1,0,0,0,2,3,4,1,0,0,0,2,0
2019-07-01,Waajid,2,2,1,0,0,0,0,1,3,1,0,0,0,0,1
2020-01-01,Waajid,1,1,1,0,0,0,0,1,2,0,0,0,0,1,0
2020-07-01,Waajid,5,2,1,0,0,0,0,1,3,0,0,0,0,0,2
2021-01-01,Waajid,8,8,1,1,0,0,4,7,13,0,0,0,1,4,2
2021-07-01,Waajid,5,5,4,0,0,0,1,2,10,0,0,0,0,1,7
2017-07-01,Wanla Weyn,82,7,7,0,0,1,5,8,12,3,2,0,0,6,6
2018-01-01,Wanla Weyn,36,9,3,0,0,2,0,9,12,0,1,0,0,0,4
2018-07-01,Wanla Weyn,56,6,4,0,0,2,5,3,10,0,6,0,0,6,4
2019-01-01,Wanla Weyn,52,5,10,2,0,1,4,11,12,4,2,0,2,4,5
2019-07-01,Wanla Weyn,58,12,8,0,0,1,2,11,14,3,7,0,0,2,5
2020-01-01,Wanla Weyn,83,14,6,0,0,0,4,8,14,6,5,0,0,6,6
2020-07-01,Wanla Weyn,49,13,4,0,0,0,6,6,9,2,13,0,0,8,1
2021-01-01,Wanla Weyn,38,4,5,0,0,0,3,6,5,3,3,0,0,5,0
2021-07-01,Wanla Weyn,12,4,3,0,0,2,1,4,8,0,2,0,0,4,0
2017-07-01,Xarardheere,6,2,0,0,0,2,0,3,4,0,0,0,0,1,0
2018-01-01,Xarardheere,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2018-07-01,Xarardheere,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0
2019-01-01,Xarardheere,67,0,2,0,0,1,4,1,7,0,0,0,0,4,2
2019-07-01,Xarardheere,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2020-01-01,Xarardheere,3,0,1,0,0,1,0,1,1,1,0,0,0,0,0
2020-07-01,Xarardheere,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2021-01-01,Xarardheere,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2021-07-01,Xarardheere,26,3,0,0,0,0,0,2,3,0,1,0,0,0,0
2017-07-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,Xudun,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-01-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,Xudun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,Xudun,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-07-01,Xudur,30,9,1,0,0,2,2,11,11,1,2,0,0,2,1
2018-01-01,Xudur,76,22,1,0,0,3,2,12,28,9,1,0,0,2,3
2018-07-01,Xudur,16,6,1,0,0,1,2,7,9,1,0,0,0,2,1
2019-01-01,Xudur,29,13,0,2,0,0,4,11,16,1,0,0,2,4,1
2019-07-01,Xudur,17,11,1,1,1,1,1,5,12,7,0,1,1,2,1
2020-01-01,Xudur,9,9,3,0,0,2,7,7,18,3,2,0,0,8,1
2020-07-01,Xudur,13,5,1,0,0,0,0,4,5,1,2,0,0,0,0
2021-01-01,Xudur,11,11,2,0,0,4,2,11,17,2,0,0,0,7,1
2021-07-01,Xudur,15,39,9,0,0,3,5,21,55,1,0,0,0,9,24
2017-07-01,Zeylac,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
2018-01-01,Zeylac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,Zeylac,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2019-01-01,Zeylac,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2019-07-01,Zeylac,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-01,Zeylac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,Zeylac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,Zeylac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,Zeylac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
