date,next_prevalence,district,district_encoded,sub_event_type_Violent demonstration,sub_event_type_Suicide bomb,sub_event_type_Shelling/artillery/missile attack,sub_event_type_Sexual violence,sub_event_type_Remote explosive/landmine/IED,sub_event_type_Protest with intervention,sub_event_type_Peaceful protest,sub_event_type_Other,sub_event_type_Non-violent transfer of territory
2017-07-01,0.351,Jowhar,49,0.0,0.0,9.0,0.0,30.0,1.0,3.0,0.0,5.0
2017-07-01,0.3925999999999999,Kismaayo,50,0.0,3.0,1.0,1.0,17.0,0.0,0.0,0.0,7.0
2017-07-01,0.3510000000000001,Kurtunwaarey,51,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2017-07-01,0.2911999999999999,Laas Caanood,52,4.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0
2017-07-01,0.3367,Laasqoray,53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2018-01-01,0.2211366753028379,Burco,18,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2018-01-01,0.4927859267135329,Burtinle,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.226129551832888,Buuhoodle,20,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
2018-01-01,0.4846909879180319,Buur Hakaba,21,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,2.0
2018-01-01,0.2829201738380863,Cadale,24,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2018-01-01,0.4507637375759017,Caluula,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2428031590674251,Caynabo,26,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2018-01-01,0.2906972787612182,Ceel Afweyn,27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2018-01-01,0.3602624374798162,Ceel Buur,29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-01-01,0.3142399717243435,Ceel Dheer,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-01,0.2770029164634731,Ceel Waaq,31,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
2018-01-01,0.3096083862495412,Ceerigaabo,32,4.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0
2018-01-01,0.3909032104916541,Dhuusamarreeb,33,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2018-01-01,0.4769534198876959,Diinsoor,34,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
2018-01-01,0.5392512067568789,Doolow,35,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2018-01-01,0.3908949717937982,Bulo Burto,17,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0
2018-01-01,0.482210605259551,Bossaso,15,8.0,2.0,5.0,0.0,15.0,1.0,6.0,2.0,0.0
2018-01-01,0.384859060068862,Afgooye,1,2.0,0.0,11.0,0.0,49.0,0.0,3.0,2.0,4.0
2018-01-01,0.2972606382668021,Baardheere,3,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,2.0
2018-01-01,0.3711192650605567,Badhaadhe,4,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2018-01-01,0.3580405856281527,Balcad,6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0
2018-01-01,0.3785774588022779,Baraawe,9,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0
2018-01-01,0.4637281725694139,Belet Weyne,11,1.0,1.0,3.0,1.0,10.0,0.0,6.0,1.0,2.0
2018-01-01,0.2949701973955382,Berbera,13,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2018-01-01,0.2406251937071188,Borama,14,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
2018-01-01,0.4125181113098476,Bu'aale,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4668580324895174,Gaalkacyo,37,0.0,0.0,1.0,1.0,6.0,0.0,5.0,2.0,0.0
2018-01-01,0.345678336354725,Garbahaarey,39,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
2018-01-01,0.5372761677527557,Qardho,60,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2018-01-01,0.4363798525409664,Qoryooley,61,0.0,0.0,6.0,2.0,5.0,0.0,0.0,0.0,1.0
2018-01-01,0.3717999999999999,Saakow,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4309610549243231,Sablaale,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2547557920787028,Taleex,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4748949097855825,Waajid,68,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
2018-01-01,0.3788174337777663,Wanla Weyn,69,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0
2018-01-01,0.3447106682656731,Xarardheere,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-01,0.4689020964811947,Xudur,72,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
2018-01-01,0.4695085383288688,Galdogob,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2018-01-01,0.5092847348131929,Qansax Dheere,59,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2018-01-01,0.4649012053458273,Qandala,58,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2018-01-01,0.2505864840856458,Sheikh,65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-01-01,0.3971406259324205,Marka,56,0.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,1.0
2018-01-01,0.2303423878316652,Owdweyne,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-01-01,0.2443191130723181,Gebiley,41,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2018-01-01,0.2386485041615721,Hargeysa,42,12.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0
2018-01-01,0.3354148794445133,Hobyo,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4846457772814762,Iskushuban,44,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
