date,next_prevalence,district,district_encoded,number_conflicts,count_actors_4,count_actors_3,count_actors_2,count_actors_1,source_scale_Subnational-National,source_scale_Subnational,source_scale_Regional,source_scale_Other-Subnational
2017-07-01,0.2911999999999999,Laas Caanood,52,18,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0
2017-07-01,0.3367,Laasqoray,53,3,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
2018-01-01,0.2211366753028379,Burco,18,19,3.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4927859267135329,Burtinle,19,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2018-01-01,0.226129551832888,Buuhoodle,20,13,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0
2018-01-01,0.4846909879180319,Buur Hakaba,21,14,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0
2018-01-01,0.2829201738380863,Cadale,24,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4507637375759017,Caluula,25,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2428031590674251,Caynabo,26,8,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.2906972787612182,Ceel Afweyn,27,5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3602624374798162,Ceel Buur,29,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3142399717243435,Ceel Dheer,30,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2770029164634731,Ceel Waaq,31,12,0.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0
2018-01-01,0.3096083862495412,Ceerigaabo,32,19,1.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0
2018-01-01,0.3909032104916541,Dhuusamarreeb,33,16,0.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0
2018-01-01,0.4769534198876959,Diinsoor,34,18,2.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.5392512067568789,Doolow,35,4,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3908949717937982,Bulo Burto,17,36,0.0,10.0,25.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.482210605259551,Bossaso,15,71,0.0,9.0,53.0,9.0,0.0,0.0,0.0,0.0
2018-01-01,0.384859060068862,Afgooye,1,163,1.0,17.0,137.0,8.0,0.0,3.0,0.0,1.0
2018-01-01,0.2972606382668021,Baardheere,3,28,0.0,7.0,20.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.3711192650605567,Badhaadhe,4,15,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3580405856281527,Balcad,6,21,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3785774588022779,Baraawe,9,17,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4637281725694139,Belet Weyne,11,74,0.0,26.0,40.0,8.0,0.0,0.0,0.0,0.0
2018-01-01,0.2949701973955382,Berbera,13,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.2406251937071188,Borama,14,11,3.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.4125181113098476,Bu'aale,16,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4668580324895174,Gaalkacyo,37,64,1.0,19.0,39.0,5.0,0.0,0.0,0.0,1.0
2018-01-01,0.345678336354725,Garbahaarey,39,19,0.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0
2018-01-01,0.5372761677527557,Qardho,60,8,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0
2018-01-01,0.4363798525409664,Qoryooley,61,41,0.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3717999999999999,Saakow,63,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
