date,district,prevalence,next_prevalence,prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,increase,increase_numeric,district_encoded
2018-01-01,Afgooye,0.351,0.384859060068862,0.3692,0.0,0.2733333333333334,0.0,6.0,309683.38499999995,1,True,0.033859060068862024,3
2018-01-01,Gebiley,0.1975999999999999,0.2443191130723181,0.338,0.0,0.20833333333333334,0.13,2.0,146038.5,1,True,0.046719113072318214,51
2018-01-01,Kurtunwaarey,0.3510000000000001,0.4461179568825337,0.3691999999999999,0.0,0.365,0.18,5.0,95730.255,1,True,0.0951179568825336,61
2018-01-01,Qansax Dheere,0.2886,0.5092847348131929,0.3588,0.0,0.26666666666666666,0.09,7.0,123818.085,1,True,0.2206847348131929,71
2018-01-01,Waajid,0.4861999999999999,0.4748949097855825,0.4861999999999999,0.0,0.25,0.11,5.0,85276.75499999999,1,False,-0.01130509021441739,81
2018-01-01,Doolow,0.3926,0.5392512067568789,0.4356257436740676,0.0,0.20166666666666666,0.0,7.0,42455.7,1,True,0.14665120675687887,45
2018-01-01,Baraawe,0.3510000000000001,0.3785774588022779,0.3692000000000001,0.0,0.27,0.29,3.0,69703.11,1,True,0.0275774588022778,14
2018-01-01,Hargeysa,0.1975999999999999,0.2386485041615721,0.3425891325819686,0.0,0.0,0.14,2.0,1027923.705,1,True,0.041048504161572213,52
2018-01-01,Xarardheere,0.4004000000000001,0.3447106682656731,0.4732000000000002,0.0,0.18166666666666667,0.09,4.0,278193.50999999995,1,False,-0.055689331734327,83
2018-01-01,Jowhar,0.351,0.3830459721840857,0.3692000000000001,0.0,0.26,0.0,7.0,279295.785,1,True,0.032045972184085725,59
2018-01-01,Tayeeglow,0.4861999999999999,0.3502607787971933,0.4861999999999999,0.0,0.3116666666666667,0.08,5.0,99175.77,1,False,-0.1359392212028066,80
2018-01-01,Belet Weyne,0.3926,0.4637281725694139,0.429,0.0,0.22833333333333336,0.24,9.0,281126.69999999995,1,True,0.0711281725694139,17
2018-01-01,Qoryooley,0.351,0.4363798525409664,0.3691999999999998,0.0,0.3466666666666667,0.09,6.0,196309.485,1,True,0.08537985254096642,73
2018-01-01,Bu'aale,0.3925999999999999,0.4125181113098476,0.4316,0.0,0.42333333333333334,0.0,6.0,93543.3,1,True,0.01991811130984772,24
2018-01-01,Sheikh,0.2028,0.2505864840856458,0.3406,0.0,0.18166666666666667,0.07,2.0,62404.28999999999,1,True,0.047786484085645814,78
2018-01-01,Borama,0.1690000000000001,0.2406251937071188,0.3795999999999999,0.0,0.20166666666666666,0.04,2.0,491879.61,1,True,0.0716251937071187,22
2018-01-01,Sablaale,0.3510000000000001,0.4309610549243231,0.3692,0.0,0.4116666666666666,0.11,5.0,62978.715,1,True,0.07996105492432298,77
2018-01-01,Bulo Burto,0.3926,0.3908949717937982,0.429,0.0,0.2733333333333333,0.25,9.0,181435.5,1,False,-0.0017050282062018307,25
2018-01-01,Jilib,0.3925999999999999,0.4060356888423295,0.4316000000000001,0.0,0.39166666666666666,0.09,5.0,103739.085,1,True,0.013435688842329596,58
2018-01-01,Balcad,0.351,0.3580405856281527,0.3692,0.0,0.29,0.0,6.0,141077.745,1,True,0.00704058562815274,11
2018-01-01,Baardheere,0.3925999999999999,0.2972606382668021,0.4316,0.0,0.29333333333333333,0.0,8.0,170132.26499999998,1,False,-0.09533936173319779,6
2018-01-01,Ceel Dheer,0.4211999999999999,0.3142399717243435,0.52,0.0,0.20666666666666667,0.19,4.0,130366.52999999998,1,False,-0.10696002827565643,39
2018-01-01,Jalalaqsi,0.3925999999999999,0.3858321287337016,0.4290000000000001,0.0,0.2783333333333333,0.16,9.0,76346.775,1,False,-0.006767871266298298,55
2018-01-01,Luuq,0.3926,0.4123022966960434,0.4315999999999998,0.0,0.18833333333333335,0.0,7.0,100476.765,1,True,0.019702296696043398,66
2018-01-01,Marka,0.351,0.3971406259324205,0.3692,0.0,0.3116666666666667,0.03,6.0,282222.765,1,True,0.04614062593242052,67
2018-01-01,Jamaame,0.3926,0.4077438698894172,0.4316000000000001,0.0,0.3333333333333333,0.25,5.0,169536.10499999998,1,True,0.015143869889417183,56
2018-01-01,Hobyo,0.4003999999999999,0.3354148794445133,0.4732,0.0,0.1366666666666667,0.25,4.0,142717.185,1,False,-0.06498512055548661,53
2018-01-01,Diinsoor,0.2886000000000001,0.4769534198876959,0.3588,0.0,0.345,0.09,7.0,100108.305,1,True,0.18835341988769583,44
2018-01-01,Kismaayo,0.3925999999999999,0.4685498464822668,0.4255768922026957,0.0,0.3433333333333333,0.17,5.0,218785.545,1,True,0.07594984648226688,60
2018-01-01,Cadale,0.351,0.2829201738380863,0.3691999999999999,0.0,0.22666666666666666,0.0,4.0,48461.80499999999,1,False,-0.06807982616191366,33
2018-01-01,Badhaadhe,0.3926,0.3711192650605567,0.4316000000000001,0.0,0.5016666666666667,0.09,5.0,50723.28,1,False,-0.021480734939443302,7
2018-01-01,Owdweyne,0.2028,0.2303423878316652,0.3406,0.0,0.15,0.3,2.0,78004.845,1,True,0.027542387831665183,69
2018-01-01,Xudur,0.4862,0.4689020964811947,0.4862,0.0,0.24833333333333332,0.14,5.0,113853.105,1,False,-0.017297903518805335,85
2018-07-01,Bulo Burto,0.3908949717937982,0.470453127878576,0.3926,0.0,0.32166666666666666,0.12,9.0,126308.10395590446,7,True,0.07955815608477784,25
2018-07-01,Owdweyne,0.2303423878316652,0.2072939133886237,0.2028,0.0,0.17500000000000002,0.1,3.0,99751.78651328415,7,False,-0.023048474443041478,69
